idx,lake,date,T1,T2,T3,T4,T5,T6,cluster,season
1,Taihu,44144,3,3,3,4,5,3,1,3
2,Taihu,44145,3,4,3,3,5,4,4,3
3,Taihu,44146,3,4,3,3,6,5,4,3
4,Taihu,44147,5,6,5,4,5,4,3,3
5,Taihu,44148,3,4,4,5,9,4,1,3
6,Taihu,44149,4,4,3,8,12,4,1,3
7,Taihu,44150,4,3,4,4,5,5,4,3
8,Taihu,44151,4,4,3,5,11,3,1,3
9,Taihu,44152,3,3,2,3,4,4,4,3
10,Taihu,44153,3,3,3,3,4,4,4,3
11,Taihu,44154,4,4,3,3,3,3,2,3
12,Taihu,44155,3,2,2,2,3,3,4,3
13,Taihu,44156,3,3,3,3,3,3,,3
14,Taihu,44157,3,3,3,3,3,4,4,3
15,Taihu,44158,3,3,3,3,3,3,,3
16,Taihu,44159,2,3,3,3,3,3,1,3
17,Taihu,44160,3,3,3,2,3,2,3,3
18,Taihu,44161,2,2,2,2,3,5,4,3
19,Taihu,44162,7,2,2,2,2,2,2,3
20,Taihu,44163,2,2,2,2,2,2,,3
21,Taihu,44164,2,2,2,2,2,2,,3
22,Taihu,44165,2,2,2,2,3,3,4,3
23,Taihu,44166,3,2,2,2,3,2,2,3
24,Taihu,44167,3,3,2,2,2,2,2,3
25,Taihu,44168,2,2,2,2,2,3,4,3
26,Taihu,44169,3,3,2,2,2,2,2,3
27,Taihu,44170,2,2,2,2,4,2,1,3
28,Taihu,44172,2,3,2,2,2,2,3,3
29,Taihu,44173,2,2,2,2,4,3,1,3
30,Taihu,44174,3,3,3,3,6,4,1,4
31,Taihu,44175,3,2,3,2,3,3,4,4
32,Taihu,44176,2,2,2,3,2,3,1,4
33,Taihu,44177,3,3,2,2,3,3,2,4
34,Taihu,44178,2,3,2,2,2,3,4,4
35,Taihu,44179,3,4,4,3,3,3,3,4
36,Taihu,44180,3,3,3,3,4,3,1,4
37,Taihu,44181,3,3,3,3,4,3,1,4
38,Taihu,44182,3,3,3,3,4,4,4,4
39,Taihu,44183,4,3,3,3,3,3,2,4
40,Taihu,44184,3,3,3,3,3,3,,4
41,Taihu,44185,3,3,3,3,3,3,,4
42,Taihu,44186,3,3,3,2,3,3,2,4
43,Taihu,44187,3,3,3,2,3,3,2,4
44,Taihu,44188,3,3,2,2,3,3,2,4
45,Taihu,44189,3,3,2,2,3,4,4,4
46,Taihu,44190,4,4,3,2,3,3,2,4
47,Taihu,44191,3,3,3,3,3,3,,4
48,Taihu,44192,3,3,2,3,2,2,3,4
49,Taihu,44193,3,2,2,1,2,1,2,4
50,Taihu,44194,2,2,2,2,2,3,4,4
51,Taihu,44195,3,3,3,3,3,3,,4
52,Taihu,44196,3,3,3,3,3,4,4,4
53,Taihu,44197,3,4,4,3,3,4,3,4
54,Taihu,44198,4,4,3,2,3,3,2,4
55,Taihu,44199,3,3,3,2,3,3,2,4
56,Taihu,44200,3,3,3,3,3,3,,4
57,Taihu,44201,3,3,3,3,3,3,,4
58,Taihu,44202,3,3,3,3,3,3,,4
59,Taihu,44203,3,3,12,11,12,12,1,4
60,Taihu,44204,11,11,3,4,3,3,2,4
61,Taihu,44205,3,4,3,3,3,3,3,4
62,Taihu,44206,3,3,3,2,3,3,2,4
63,Taihu,44207,3,3,3,2,2,3,2,4
64,Taihu,44208,3,3,3,2,4,3,4,4
65,Taihu,44209,2,2,2,2,2,3,4,4
66,Taihu,44210,3,3,5,3,3,4,3,4
67,Taihu,44211,3,3,3,3,3,3,,4
68,Taihu,44212,3,3,4,4,3,3,3,4
69,Taihu,44213,3,4,4,3,3,3,3,4
70,Taihu,44214,3,3,3,4,6,8,4,4
71,Taihu,44215,8,9,10,15,17,18,1,4
72,Taihu,44216,14,11,11,12,13,12,2,4
73,Taihu,44217,11,11,13,17,15,13,1,4
74,Taihu,44218,11,11,11,11,10,9,3,4
75,Taihu,44219,11,9,8,7,8,7,2,4
76,Taihu,44220,7,6,6,6,6,6,2,4
77,Taihu,44221,6,7,6,6,9,7,1,4
78,Taihu,44223,7,8,6,7,9,9,4,4
79,Taihu,44224,7,7,8,8,9,8,1,4
80,Taihu,44225,8,4,4,4,4,4,2,4
81,Taihu,44226,4,4,4,4,6,7,4,4
82,Taihu,44227,7,7,7,8,10,11,4,4
83,Taihu,44228,10,10,19,11,8,11,3,4
84,Taihu,44229,10,9,8,6,6,7,2,4
85,Taihu,44230,6,8,4.58,3.89,4.19,4.29,2,4
86,Taihu,44231,4.07,3.77,3.33,2.49,4.72,4.12,4,4
87,Taihu,44232,4.06,3.71,3.68,3.39,4.44,3.16,2,4
88,Taihu,44233,3.84,3.36,3.27,4.3,6.27,4.4,1,4
89,Taihu,44234,3.9,2.71,2.27,2.84,4.73,4.5,4,4
90,Taihu,44235,3.8,3.36,3.27,2.84,3.94,4.11,4,4
